DATE,WM2NS
2021-03-01,19667.7
2021-03-08,19764.6
2021-03-15,19903.4
2021-03-22,20079.0
2021-03-29,20154.9
2021-04-05,20362.1
2021-04-12,20356.4
2021-04-19,20346.5
2021-04-26,20192.7
2021-05-03,20319.7
2021-05-10,20401.4
2021-05-17,20459.8
2021-05-24,20280.2
2021-05-31,20329.6
2021-06-07,20471.2
2021-06-14,20557.7
2021-06-21,20463.5
2021-06-28,20415.2
2021-07-05,20596.3
2021-07-12,20597.8
2021-07-19,20631.3
2021-07-26,20585.9
2021-08-02,20713.7
2021-08-09,20776.3
2021-08-16,20853.3
2021-08-23,20830.1
2021-08-30,20864.5
2021-09-06,21008.9
2021-09-13,21055.7
2021-09-20,21015.1
2021-09-27,20925.3
2021-10-04,21098.4
2021-10-11,21124.5
2021-10-18,21203.8
2021-10-25,21094.4
2021-11-01,21238.7
2021-11-08,21311.3
2021-11-15,21389.5
2021-11-22,21416.3
2021-11-29,21444.4
2021-12-06,21588.8
2021-12-13,21646.2
2021-12-20,21773.8
2021-12-27,21823.4
2022-01-03,21796.4
2022-01-10,21812.3
2022-01-17,21798.4
2022-01-24,21612.3
2022-01-31,21609.1
